"AttributeName","Consistency","ValueIDS","RecordIDS","Values","FusedValue","IsCorrect","CorrectValue"
"Industry","0.0","Industry-{DBPedia_615+SBTI_3}","DBPedia_615+SBTI_3","{[, Food manufacturing, ]|[]}","[, Food manufacturing]",,
"Industry","0.0","Industry-{Forbes_1382+SBTI_5743}","Forbes_1382+SBTI_5743","{[, Banking, ]|[]}","[, Banking]",,
"Industry","0.0","Industry-{DBPedia_1432+SBTI_2071}","DBPedia_1432+SBTI_2071","{[, Electronics, , Health care, , Manufacturing, , Pharmaceutical drug, ]|[]}","[, Health care, Pharmaceutical drug, Electronics, Manufacturing]",,
"Industry","0.0","Industry-{DBPedia_2981+Forbes_1313}","DBPedia_2981+Forbes_1313","{[, Networking hardware, ]|[, Technology Hardware & Equipment, ]}","[, Technology Hardware & Equipment, Networking hardware]",,
"Industry","1.0","Industry-{DBPedia_7296+SBTI_4064}","DBPedia_7296+SBTI_4064","{[]|[]}","[]",,
"Industry","0.0","Industry-{DBPedia_5365+SBTI_4356}","DBPedia_5365+SBTI_4356","{[, Energy, ]|[]}","[, Energy]",,
"Industry","0.0","Industry-{Forbes_1024+SBTI_320}","Forbes_1024+SBTI_320","{[, Household & Personal Products, ]|[]}","[, Household & Personal Products]",,
"Industry","0.0","Industry-{DBPedia_8901+SBTI_2247}","DBPedia_8901+SBTI_2247","{[, Holding company, ]|[]}","[, Holding company]",,
"Industry","1.0","Industry-{DBPedia_2735+Forbes_1701}","DBPedia_2735+Forbes_1701","{[, Retailing, ]|[, Retailing, ]}","[, Retailing]",,
"Industry","0.0","Industry-{DBPedia_500+SBTI_1276}","DBPedia_500+SBTI_1276","{[, Building material, ]|[]}","[, Building material]",,
"Industry","0.0","Industry-{DBPedia_5724+SBTI_23}","DBPedia_5724+SBTI_23","{[, Telecommunications industry, ]|[]}","[, Telecommunications industry]",,
"Industry","1.0","Industry-{DBPedia_193+SBTI_4527}","DBPedia_193+SBTI_4527","{[]|[]}","[]",,
"Industry","0.0","Industry-{DBPedia_688+SBTI_388}","DBPedia_688+SBTI_388","{[, Dairy, ]|[]}","[, Dairy]",,
"Industry","0.0","Industry-{DBPedia_7747+Forbes_832}","DBPedia_7747+Forbes_832","{[, Energy, ]|[, Utilities, ]}","[, Utilities, Energy]",,
