"AttributeName","Consistency","ValueIDS","RecordIDS","Values","FusedValue","IsCorrect","CorrectValue"
"Company name","0.0","Company name-{DBPedia_3119+SBTI_2984}","DBPedia_3119+SBTI_2984","{Kenco Group|Kepak Group}","Kepak Group",,
"Company name","0.0","Company name-{DBPedia_8439+SBTI_5693}","DBPedia_8439+SBTI_5693","{Uniqa Insurance Group|UNIQA Insurance Group AG}","Uniqa Insurance Group",,
"Company name","1.0","Company name-{DBPedia_5235+SBTI_4785}","DBPedia_5235+SBTI_4785","{Severn Trent|Severn Trent}","Severn Trent",,
"Company name","1.0","Company name-{DBPedia_451+SBTI_2765}","DBPedia_451+SBTI_2765","{Íslandsbanki|Íslandsbanki}","Íslandsbanki",,
"Company name","1.0","Company name-{DBPedia_5935+SBTI_5262}","DBPedia_5935+SBTI_5262","{Tapestry, Inc.|Tapestry, Inc.}","Tapestry, Inc.",,
"Company name","1.0","Company name-{DBPedia_9621+Forbes_885}","DBPedia_9621+Forbes_885","{Expeditors International|Expeditors International}","Expeditors International",,
"Company name","1.0","Company name-{DBPedia_2981+Forbes_1313}","DBPedia_2981+Forbes_1313","{Arista Networks|Arista Networks}","Arista Networks",,
"Company name","1.0","Company name-{DBPedia_425+Forbes_910}","DBPedia_425+Forbes_910","{Avis Budget Group|Avis Budget Group}","Avis Budget Group",,
"Company name","1.0","Company name-{DBPedia_1151+Forbes_1012}","DBPedia_1151+Forbes_1012","{Constellation Brands|Constellation Brands}","Constellation Brands",,
"Company name","1.0","Company name-{DBPedia_2737+SBTI_119}","DBPedia_2737+SBTI_119","{AECOM|AECOM}","AECOM",,
"Company name","1.0","Company name-{DBPedia_1946+Forbes_1557}","DBPedia_1946+Forbes_1557","{Atlassian|Atlassian}","Atlassian",,
"Company name","0.6666666666666666","Company name-{DBPedia_10433+Forbes_372+SBTI_1953}","DBPedia_10433+Forbes_372+SBTI_1953","{Fortescue Metals Group|Fortescue Metals Group|Fortescue Metals Group Ltd}","Fortescue Metals Group",,
"Company name","1.0","Company name-{DBPedia_8321+SBTI_2620}","DBPedia_8321+SBTI_2620","{Imerys|Imerys}","Imerys",,
"Company name","1.0","Company name-{DBPedia_9955+SBTI_4676}","DBPedia_9955+SBTI_4676","{Saudi Telecom Company|Saudi Telecom Company}","Saudi Telecom Company",,
"Company name","1.0","Company name-{DBPedia_2672+Forbes_1508}","DBPedia_2672+Forbes_1508","{A2A|A2A}","A2A",,
"Company name","1.0","Company name-{DBPedia_6408+Forbes_813}","DBPedia_6408+Forbes_813","{United Rentals|United Rentals}","United Rentals",,
"Company name","1.0","Company name-{DBPedia_5210+Forbes_1862}","DBPedia_5210+Forbes_1862","{Qurate Retail Group|Qurate Retail Group}","Qurate Retail Group",,
"Company name","1.0","Company name-{DBPedia_4345+SBTI_4142}","DBPedia_4345+SBTI_4142","{Panzani|PANZANI}","Panzani",,
"Company name","1.0","Company name-{DBPedia_8331+Forbes_1892}","DBPedia_8331+Forbes_1892","{PennyMac Financial Services|PennyMac Financial Services}","PennyMac Financial Services",,
"Company name","0.5","Company name-{DBPedia_10096+DBPedia_5113+Forbes_1311+SBTI_3427}","DBPedia_10096+DBPedia_5113+Forbes_1311+SBTI_3427","{Maxwell Technologies|Marvell Technology|Marvell Technology|Marvell Technologies}","Marvell Technology",,
"Company name","1.0","Company name-{DBPedia_144+SBTI_4187}","DBPedia_144+SBTI_4187","{Perfetti Van Melle|Perfetti Van Melle}","Perfetti Van Melle",,
"Company name","1.0","Company name-{DBPedia_1592+SBTI_611}","DBPedia_1592+SBTI_611","{BCE Inc.|BCE inc.}","BCE Inc.",,
"Company name","1.0","Company name-{DBPedia_4373+SBTI_5903}","DBPedia_4373+SBTI_5903","{Wallenius Wilhelmsen|Wallenius Wilhelmsen}","Wallenius Wilhelmsen",,
"Company name","1.0","Company name-{DBPedia_5925+Forbes_622}","DBPedia_5925+Forbes_622","{Eversource Energy|Eversource Energy}","Eversource Energy",,
"Company name","1.0","Company name-{DBPedia_9974+Forbes_1128+SBTI_601}","DBPedia_9974+Forbes_1128+SBTI_601","{Bath & Body Works|Bath & Body Works|Bath & Body Works}","Bath & Body Works","true","Bath & Body Works"
"Company name","1.0","Company name-{DBPedia_8221+SBTI_3027}","DBPedia_8221+SBTI_3027","{Kiwi Property Group|Kiwi Property Group}","Kiwi Property Group",,
"Company name","1.0","Company name-{DBPedia_3030+Forbes_596}","DBPedia_3030+Forbes_596","{Sysco|Sysco}","Sysco",,
"Company name","1.0","Company name-{DBPedia_5826+SBTI_851}","DBPedia_5826+SBTI_851","{Bunge Limited|Bunge Limited}","Bunge Limited",,
"Company name","1.0","Company name-{DBPedia_7607+SBTI_5159}","DBPedia_7607+SBTI_5159","{SUSE|SUSE}","SUSE",,
"Company name","1.0","Company name-{DBPedia_9143+Forbes_1409}","DBPedia_9143+Forbes_1409","{RTL Group|RTL Group}","RTL Group",,
"Company name","1.0","Company name-{DBPedia_6860+Forbes_1330}","DBPedia_6860+Forbes_1330","{Bunzl|Bunzl}","Bunzl",,
"Company name","1.0","Company name-{DBPedia_9188+Forbes_1970}","DBPedia_9188+Forbes_1970","{Cadence Bank|Cadence Bank}","Cadence Bank",,
"Company name","1.0","Company name-{DBPedia_9028+SBTI_1507}","DBPedia_9028+SBTI_1507","{Dormakaba|dormakaba}","dormakaba",,
"Company name","1.0","Company name-{DBPedia_8108+SBTI_5491}","DBPedia_8108+SBTI_5491","{TOA Corporation|TOA Corporation}","TOA Corporation",,
"Company name","1.0","Company name-{DBPedia_2058+SBTI_3409}","DBPedia_2058+SBTI_3409","{Marks & Spencer|Marks & Spencer}","Marks & Spencer",,
"Company name","1.0","Company name-{DBPedia_3769+Forbes_1860}","DBPedia_3769+Forbes_1860","{Abrdn|Abrdn}","Abrdn",,
"Company name","1.0","Company name-{DBPedia_8138+Forbes_1372}","DBPedia_8138+Forbes_1372","{Sonic Healthcare|Sonic Healthcare}","Sonic Healthcare",,
"Company name","1.0","Company name-{Forbes_1242+SBTI_386}","Forbes_1242+SBTI_386","{Arkema|Arkema}","Arkema",,
"Company name","0.0","Company name-{DBPedia_7912+SBTI_108}","DBPedia_7912+SBTI_108","{ADVA Optical Networking|Adva Optical Networking SE}","ADVA Optical Networking",,
