"AttributeName","Consistency","ValueIDS","RecordIDS","Values","FusedValue","IsCorrect","CorrectValue"
"Year Founded","0.0","Year Founded-{DBPedia_956+Forbes_1373}","DBPedia_956+Forbes_1373","{1992|1992}","1992",,
"Assets","0.0","Assets-{DBPedia_2667+Forbes_370}","DBPedia_2667+Forbes_370","{38.2|40.45}","39.325",,
"Company name","1.0","Company name-{Forbes_1399+SBTI_1766}","Forbes_1399+SBTI_1766","{Euronext|Euronext}","Euronext",,
"Company name","0.6666666666666666","Company name-{DBPedia_4103+Forbes_1134+SBTI_1509}","DBPedia_4103+Forbes_1134+SBTI_1509","{Dover Corporation|Dover|Dover Corporation}","Dover",,
"Year Founded","0.0","Year Founded-{DBPedia_4924+Forbes_1009}","DBPedia_4924+Forbes_1009","{1995|1995}","1995",,
"Company name","1.0","Company name-{Forbes_624+SBTI_2431}","Forbes_624+SBTI_2431","{Hermès International|Hermès International}","Hermès International",,
"Year Founded","0.0","Year Founded-{DBPedia_4746+Forbes_1465}","DBPedia_4746+Forbes_1465","{1935|1990}","1990",,
"Assets","1.0","Assets-{Forbes_1380}","Forbes_1380","{16.21}","16.21",,
"Revenue","0.0","Revenue-{DBPedia_8857+Forbes_860}","DBPedia_8857+Forbes_860","{5140084|11660000000}","5140084",,
"Company name","1.0","Company name-{DBPedia_2851+Forbes_844+SBTI_5401}","DBPedia_2851+Forbes_844+SBTI_5401","{The Hershey Company|The Hershey Company|The Hershey Company}","The Hershey Company",,
"Profit","1.0","Profit-{Forbes_969}","Forbes_969","{1120000000}","1120000000",,
"Revenue","1.0","Revenue-{Forbes_1340}","Forbes_1340","{5010000000}","5010000000",,
"Profit","1.0","Profit-{Forbes_197}","Forbes_197","{9400000000}","9400000000",,
"Revenue","0.0","Revenue-{DBPedia_8361+Forbes_489}","DBPedia_8361+Forbes_489","{8292583423|11580000000}","8292583423",,
"Profit","0.0","Profit-{DBPedia_4746+Forbes_1465}","DBPedia_4746+Forbes_1465","{740100000|740000000}","740000000",,
"Year Founded","0.0","Year Founded-{DBPedia_896+Forbes_1170}","DBPedia_896+Forbes_1170","{1840|1840}","1840",,
"Company name","1.0","Company name-{DBPedia_8866+Forbes_1446+SBTI_1954}","DBPedia_8866+Forbes_1446+SBTI_1954","{Fortinet|Fortinet|Fortinet}","Fortinet",,
"Year Founded","1.0","Year Founded-{Forbes_1160}","Forbes_1160","{1982}","1982",,
"Company name","1.0","Company name-{Forbes_969+SBTI_4984}","Forbes_969+SBTI_4984","{Solvay|Solvay}","Solvay",,
"Revenue","1.0","Revenue-{Forbes_153}","Forbes_153","{44460000000}","44460000000",,
"Company name","1.0","Company name-{Forbes_887+SBTI_1008}","Forbes_887+SBTI_1008","{CEZ Group|CEZ Group}","CEZ Group",,
"Profit","0.0","Profit-{DBPedia_2701+Forbes_300}","DBPedia_2701+Forbes_300","{1540000000|1610000000}","1610000000",,
"Company name","1.0","Company name-{Forbes_606+SBTI_5191}","Forbes_606+SBTI_5191","{Swisscom|Swisscom}","Swisscom",,
"Year Founded","0.0","Year Founded-{DBPedia_471+Forbes_371}","DBPedia_471+Forbes_371","{1871|1871}","1871",,
"Assets","0.0","Assets-{DBPedia_2850+Forbes_259}","DBPedia_2850+Forbes_259","{38.59|38.91}","38.75",,
"Year Founded","1.0","Year Founded-{Forbes_1979}","Forbes_1979","{1981}","1981",,
"Profit","0.0","Profit-{DBPedia_5388+Forbes_265}","DBPedia_5388+Forbes_265","{320561000000|2510000000}","320561000000",,
"Assets","1.0","Assets-{Forbes_6}","Forbes_6","{420.55}","420.55",,
"Year Founded","1.0","Year Founded-{Forbes_150}","Forbes_150","{1902}","1902",,
"Revenue","0.0","Revenue-{DBPedia_4019+Forbes_627}","DBPedia_4019+Forbes_627","{11150000000|17070000000}","17070000000",,
"Revenue","1.0","Revenue-{Forbes_707}","Forbes_707","{13870000000}","13870000000",,
"Profit","1.0","Profit-{Forbes_1772}","Forbes_1772","{430000000}","430000000",,
"Profit","1.0","Profit-{Forbes_1796}","Forbes_1796","{370000000}","370000000",,
"Assets","0.0","Assets-{DBPedia_4407+Forbes_1199}","DBPedia_4407+Forbes_1199","{3.300493312|10.45}","6.875246656",,
"Company name","0.6666666666666666","Company name-{DBPedia_4403+Forbes_601+SBTI_775}","DBPedia_4403+Forbes_601+SBTI_775","{Boston Scientific|Boston Scientific|Boston Scientific Corporation}","Boston Scientific",,
"Profit","1.0","Profit-{Forbes_130}","Forbes_130","{4950000000}","4950000000",,
"Revenue","0.0","Revenue-{DBPedia_3163+Forbes_1747}","DBPedia_3163+Forbes_1747","{41045299617|1600000000}","41045299617",,
"Year Founded","0.0","Year Founded-{DBPedia_7829+Forbes_1229}","DBPedia_7829+Forbes_1229","{1927|1927}","1927",,
"Revenue","1.0","Revenue-{Forbes_130}","Forbes_130","{47840000000}","47840000000",,
"Year Founded","1.0","Year Founded-{Forbes_1603}","Forbes_1603","{2005}","2005",,
"Profit","1.0","Profit-{DBPedia_8088+Forbes_612}","DBPedia_8088+Forbes_612","{1100000000|1100000000}","1100000000",,
"Assets","1.0","Assets-{Forbes_1601}","Forbes_1601","{9.85}","9.85",,
"Company name","0.6666666666666666","Company name-{DBPedia_3254+Forbes_1869+SBTI_4826}","DBPedia_3254+Forbes_1869+SBTI_4826","{Shimizu Corporation|Shimizu|Shimizu Corporation}","Shimizu",,
"Year Founded","0.0","Year Founded-{DBPedia_480+Forbes_1853}","DBPedia_480+Forbes_1853","{1912|1912}","1912",,
"Company name","1.0","Company name-{Forbes_1147+SBTI_3206}","Forbes_1147+SBTI_3206","{Leonardo|Leonardo}","Leonardo",,
"Company name","1.0","Company name-{Forbes_398+SBTI_1571}","Forbes_398+SBTI_1571","{Eaton|Eaton}","Eaton",,
"Profit","1.0","Profit-{Forbes_927}","Forbes_927","{-1270000000}","-1270000000",,
"Year Founded","1.0","Year Founded-{Forbes_197}","Forbes_197","{1924}","1924",,
"Assets","1.0","Assets-{Forbes_1407}","Forbes_1407","{15.0}","15.0",,
"Assets","0.0","Assets-{DBPedia_17+Forbes_509}","DBPedia_17+Forbes_509","{25.09|26.17}","25.630000000000003",,
"Assets","0.0","Assets-{DBPedia_10015+Forbes_965}","DBPedia_10015+Forbes_965","{8.1|12.83}","10.465",,
"Year Founded","1.0","Year Founded-{Forbes_969}","Forbes_969","{1863}","1863",,
"Assets","0.0","Assets-{DBPedia_453+Forbes_39}","DBPedia_453+Forbes_39","{2443.4176|2995.89}","2719.6538","false","3116.811"
"Profit","0.0","Profit-{DBPedia_6128+Forbes_215}","DBPedia_6128+Forbes_215","{9109000000|9000000000}","9109000000",,
"Assets","0.0","Assets-{DBPedia_18+Forbes_599}","DBPedia_18+Forbes_599","{38.854|44.07}","41.462",,
"Year Founded","0.0","Year Founded-{DBPedia_3321+Forbes_889}","DBPedia_3321+Forbes_889","{2010|2002}","2002",,
"Company name","1.0","Company name-{DBPedia_5105+Forbes_202+SBTI_3123}","DBPedia_5105+Forbes_202+SBTI_3123","{L'Oréal|L'Oréal|L'Oréal}","L'Oréal","true","L'Oréal"
"Assets","1.0","Assets-{Forbes_1868}","Forbes_1868","{10.82}","10.82",,
"Revenue","0.0","Revenue-{DBPedia_3321+Forbes_889}","DBPedia_3321+Forbes_889","{994000000000|9050000000}","994000000000",,
"Year Founded","0.0","Year Founded-{DBPedia_5904+Forbes_76}","DBPedia_5904+Forbes_76","{1978|1978}","1978",,
"Year Founded","1.0","Year Founded-{Forbes_99}","Forbes_99","{2004}","2004",,
"Assets","0.0","Assets-{DBPedia_9618+Forbes_963}","DBPedia_9618+Forbes_963","{21.169|21.17}","21.1695",,
"Year Founded","1.0","Year Founded-{Forbes_1601}","Forbes_1601","{2002}","2002",,
"Revenue","1.0","Revenue-{Forbes_398}","Forbes_398","{19630000000}","19630000000",,
"Company name","0.6666666666666666","Company name-{DBPedia_8545+Forbes_271+SBTI_1987}","DBPedia_8545+Forbes_271+SBTI_1987","{Freeport-McMoRan|Freeport-McMoRan|Freeport-McMoRan Inc.}","Freeport-McMoRan",,
"Company name","1.0","Company name-{DBPedia_450+Forbes_122+SBTI_163}","DBPedia_450+Forbes_122+SBTI_163","{Airbus|AIRBUS|Airbus}","Airbus",,
"Company name","0.6666666666666666","Company name-{DBPedia_8532+Forbes_1389+SBTI_3680}","DBPedia_8532+Forbes_1389+SBTI_3680","{MSCI|MSCI|MSCI Inc.}","MSCI",,
"Company name","1.0","Company name-{Forbes_401+SBTI_2832}","Forbes_401+SBTI_2832","{JBS|JBS}","JBS",,
"Company name","1.0","Company name-{DBPedia_2801+Forbes_1987+SBTI_5649}","DBPedia_2801+Forbes_1987+SBTI_5649","{Twilio|Twilio|Twilio}","Twilio",,
"Year Founded","1.0","Year Founded-{Forbes_1407}","Forbes_1407","{1947}","1947",,
"Assets","1.0","Assets-{Forbes_809}","Forbes_809","{11.58}","11.58",,
"Company name","1.0","Company name-{DBPedia_4407+Forbes_1199+SBTI_5678}","DBPedia_4407+Forbes_1199+SBTI_5678","{Umicore|Umicore|Umicore}","Umicore",,
"Year Founded","0.0","Year Founded-{DBPedia_4950+Forbes_1336}","DBPedia_4950+Forbes_1336","{2001|1969}","1969",,
"Company name","1.0","Company name-{DBPedia_5939+Forbes_462+SBTI_452}","DBPedia_5939+Forbes_462+SBTI_452","{AstraZeneca|AstraZeneca|AstraZeneca}","AstraZeneca","true","AstraZeneca"
"Assets","1.0","Assets-{Forbes_1869}","Forbes_1869","{17.17}","17.17",,
"Profit","0.0","Profit-{DBPedia_5753+Forbes_274}","DBPedia_5753+Forbes_274","{4546000000|4650000000}","4546000000",,
"Profit","1.0","Profit-{Forbes_707}","Forbes_707","{1210000000}","1210000000",,
"Year Founded","1.0","Year Founded-{Forbes_284}","Forbes_284","{1665}","1665",,
"Profit","0.0","Profit-{DBPedia_7556+Forbes_657}","DBPedia_7556+Forbes_657","{1906000000|1870000000}","1870000000",,
"Company name","0.6666666666666666","Company name-{DBPedia_4508+Forbes_930+SBTI_5810}","DBPedia_4508+Forbes_930+SBTI_5810","{VF Corporation|VF|VF Corporation}","VF",,
"Assets","1.0","Assets-{Forbes_279}","Forbes_279","{545.24}","545.24",,
"Assets","1.0","Assets-{Forbes_1603}","Forbes_1603","{10.5}","10.5",,
"Profit","0.0","Profit-{DBPedia_2864+Forbes_365}","DBPedia_2864+Forbes_365","{328550000000|3080000000}","3080000000",,
"Profit","1.0","Profit-{Forbes_153}","Forbes_153","{5640000000}","5640000000",,
"Company name","1.0","Company name-{DBPedia_10208+Forbes_731+SBTI_4897}","DBPedia_10208+Forbes_731+SBTI_4897","{Simon Property Group|Simon Property Group|Simon Property Group}","Simon Property Group",,
"Year Founded","0.0","Year Founded-{DBPedia_6746+Forbes_843}","DBPedia_6746+Forbes_843","{1984|1984}","1984",,
"Company name","1.0","Company name-{DBPedia_4045+Forbes_68+SBTI_3921}","DBPedia_4045+Forbes_68+SBTI_3921","{Novartis|Novartis|Novartis}","Novartis",,
"Revenue","1.0","Revenue-{Forbes_197}","Forbes_197","{46420000000}","46420000000",,
"Year Founded","1.0","Year Founded-{Forbes_615}","Forbes_615","{1925}","1925",,
"Assets","1.0","Assets-{Forbes_826}","Forbes_826","{210.82}","210.82",,
"Company name","1.0","Company name-{DBPedia_8361+Forbes_489+SBTI_4192}","DBPedia_8361+Forbes_489+SBTI_4192","{Pernod Ricard|Pernod Ricard|Pernod Ricard}","Pernod Ricard",,
"Assets","0.0","Assets-{DBPedia_7556+Forbes_657}","DBPedia_7556+Forbes_657","{20.864|21.25}","21.057000000000002",,
"Assets","1.0","Assets-{Forbes_1886}","Forbes_1886","{8.1}","8.1",,
"Company name","0.6666666666666666","Company name-{DBPedia_7499+Forbes_1027+SBTI_4175}","DBPedia_7499+Forbes_1027+SBTI_4175","{Pegatron|Pegatron|Pegatron Corporation}","Pegatron",,
"Year Founded","0.0","Year Founded-{DBPedia_4009+Forbes_435}","DBPedia_4009+Forbes_435","{1946|1946}","1946",,
"Assets","1.0","Assets-{DBPedia_8088+Forbes_612}","DBPedia_8088+Forbes_612","{25.55|25.55}","25.55",,
"Company name","1.0","Company name-{Forbes_1592+SBTI_4105}","Forbes_1592+SBTI_4105","{Owens Corning|Owens Corning}","Owens Corning",,
"Year Founded","0.0","Year Founded-{DBPedia_4749+Forbes_23}","DBPedia_4749+Forbes_23","{1969|1962}","1962",,
"Company name","1.0","Company name-{DBPedia_1682+Forbes_316+SBTI_1135}","DBPedia_1682+Forbes_316+SBTI_1135","{CNP Assurances|CNP Assurances|CNP Assurances}","CNP Assurances",,
"Revenue","1.0","Revenue-{Forbes_969}","Forbes_969","{13520000000}","13520000000",,
"Company name","1.0","Company name-{DBPedia_4406+Forbes_677+SBTI_4488}","DBPedia_4406+Forbes_677+SBTI_4488","{Republic Services|Republic Services|Republic Services}","Republic Services",,
"Profit","1.0","Profit-{Forbes_461}","Forbes_461","{1730000000}","1730000000",,
"Assets","0.0","Assets-{DBPedia_5753+Forbes_274}","DBPedia_5753+Forbes_274","{1.8695E-5|42.27}","21.135009347500002",,
"Company name","0.0","Company name-{Forbes_914+SBTI_454}","Forbes_914+SBTI_454","{Asustek Computer|ASUSTEK COMPUTER INC.}","Asustek Computer",,
"Revenue","0.0","Revenue-{DBPedia_1577+Forbes_1169}","DBPedia_1577+Forbes_1169","{4742000000|4730000000}","4742000000",,
"Year Founded","1.0","Year Founded-{Forbes_505}","Forbes_505","{1983}","1983",,
"Revenue","1.0","Revenue-{Forbes_150}","Forbes_150","{106000000000}","106000000000",,
"Assets","1.0","Assets-{Forbes_803}","Forbes_803","{20.44}","20.44",,
"Year Founded","0.0","Year Founded-{DBPedia_2836+Forbes_1448}","DBPedia_2836+Forbes_1448","{2001|2001}","2001",,
"Profit","0.0","Profit-{DBPedia_2850+Forbes_259}","DBPedia_2850+Forbes_259","{3200000000|6520000000}","3200000000",,
"Profit","1.0","Profit-{Forbes_1448}","Forbes_1448","{370000000}","370000000",,
"Company name","0.6666666666666666","Company name-{DBPedia_6222+Forbes_1265+SBTI_4812}","DBPedia_6222+Forbes_1265+SBTI_4812","{Sharp Corporation|Sharp|Sharp Corporation}","Sharp",,
"Company name","1.0","Company name-{Forbes_1214+SBTI_1719}","Forbes_1214+SBTI_1719","{EQT AB|EQT AB}","EQT AB",,
"Assets","1.0","Assets-{Forbes_1536}","Forbes_1536","{13.14}","13.14",,
"Revenue","0.0","Revenue-{DBPedia_4103+Forbes_1134}","DBPedia_4103+Forbes_1134","{7910000000|8090000000}","8090000000",,
"Revenue","0.0","Revenue-{DBPedia_2250+Forbes_465}","DBPedia_2250+Forbes_465","{3246000000000|29540000000}","3246000000000",,
"Company name","1.0","Company name-{Forbes_64+SBTI_735}","Forbes_64+SBTI_735","{BMW Group|BMW Group}","BMW Group",,
"Revenue","0.0","Revenue-{DBPedia_4406+Forbes_677}","DBPedia_4406+Forbes_677","{10153000000|11300000000}","10153000000",,
"Revenue","0.0","Revenue-{DBPedia_4746+Forbes_1465}","DBPedia_4746+Forbes_1465","{8408000000|8410000000}","8408000000",,
"Assets","0.0","Assets-{DBPedia_2278+Forbes_1516}","DBPedia_2278+Forbes_1516","{21.284|22.36}","21.822",,
"Company name","1.0","Company name-{Forbes_1380+SBTI_6034}","Forbes_1380+SBTI_6034","{X5 Retail Group|X5 Retail Group}","X5 Retail Group",,
"Profit","1.0","Profit-{Forbes_1229}","Forbes_1229","{400000000}","400000000",,
"Company name","1.0","Company name-{Forbes_505+SBTI_2722}","Forbes_505+SBTI_2722","{Intuit|Intuit}","Intuit",,
"Revenue","0.0","Revenue-{DBPedia_9825+Forbes_302}","DBPedia_9825+Forbes_302","{19171430400|32570000000}","19171430400","false","28767220650"
"Profit","1.0","Profit-{Forbes_241}","Forbes_241","{5010000000}","5010000000","false","5116228000"
"Company name","0.6666666666666666","Company name-{DBPedia_18+Forbes_599+SBTI_4546}","DBPedia_18+Forbes_599+SBTI_4546","{Rogers Communications|Rogers Communications|Rogers Communications Inc.}","Rogers Communications",,
"Profit","1.0","Profit-{Forbes_398}","Forbes_398","{2140000000}","2140000000",,
"Assets","0.0","Assets-{DBPedia_2682+Forbes_331}","DBPedia_2682+Forbes_331","{42.62823936|51.65}","47.13911968","false","53.736"
