"RecordIDS","AverageConsistency","Year Founded-Consistency","Year Founded-Values","Revenue-Consistency","Revenue-Values","Assets-Consistency","Assets-Values","Profit-Consistency","Profit-Values","Company name-Consistency","Company name-Values","Industry-Consistency","Industry-Values","Net Zero Committed Year-Consistency","Net Zero Committed Year-Values","Country-Consistency","Country-Values"
"Forbes_543+SBTI_906","0.7142857142857143","1.0","{1881}","1.0","{6380000000}","1.0","{54.11}","1.0","{2270000000}","0.0","{Canadian Pacific Railway|Canadian Pacific Railway Company}","0.0","{[, Transportation, ]|[]}",,,"1.0","{Canada|Canada}"
"DBPedia_2424+DBPedia_5412+DBPedia_6385+Forbes_242+Forbes_525+SBTI_4323","0.16666666666666666","0.0","{1981|2002|1983|1937|1991}","0.0","{352600000|515000000|4760000000|48070000000|4830000000}","0.0","{33.0|58.49|68.9|59.78}","0.0","{-96200000|2940000000|2180000000|3720000000}","0.5","{Provida|Procore|Prologis|Progressive|Prologis|Prologis}","0.0","{[, Pensions, ]|[, Construction Software, ]|[, Real estate investment trust, ]|[, Insurance, ]|[, Diversified Financials, ]|[]}",,,"0.6666666666666666","{United States|United States|United States of America (USA)}"
"DBPedia_3032+Forbes_257+SBTI_2956","0.2857142857142857","0.0","{2008|1963}","0.0","{17200000000|33860000000}","0.0","{508.0|560.38}","0.0","{3547000000|3790000000}","1.0","{KB Financial Group|KB Financial Group|KB Financial Group}","0.0","{[, Financial services, ]|[, Banking, ]|[]}",,,"1.0","{South Korea|South Korea|South Korea}"
"Forbes_1979+SBTI_3269","0.8571428571428571","1.0","{1981}","1.0","{5790000000}","1.0","{4.16}","1.0","{760000000}","1.0","{Logitech International|Logitech International}","0.0","{[, Technology Hardware & Equipment, ]|[]}",,,"1.0","{Switzerland|Switzerland}"
"DBPedia_9510+Forbes_268+SBTI_582","0.23809523809523808","0.0","{1808|1808}","0.0","{53000000000|29540000000}","0.0","{1900.0|362.53}","0.0","{19700000000|3400000000}","0.6666666666666666","{Banco do Brasil|Banco do Brasil|Banco do Brasil S.A.}","0.0","{[, Financial services, ]|[, Banking, ]|[]}",,,"1.0","{Brazil|Brazil}"
"DBPedia_9138+Forbes_907+SBTI_4735","0.2857142857142857","0.0","{1979|1978}","0.0","{11660000000|11980000000}","0.0","{8.94|9.38}","0.0","{1650000000|1840000000}","1.0","{Seagate Technology|Seagate Technology|Seagate Technology}","0.0","{[, Computer data storage, ]|[, Technology Hardware & Equipment, ]|[]}",,,"1.0","{Ireland|Ireland}"
"DBPedia_7963+DBPedia_988+Forbes_1399+SBTI_1766","0.42857142857142855","0.0","{1990|2007|2014}","0.0","{17667788800|695434240|1560000000}","1.0","{165.88}","0.0","{16728012|490000000}","0.5","{Euronics|Euroapotheca|Euronext|Euronext}","0.5","{[, Retailer, ]|[]|[, Diversified Financials, ]|[]}",,,"1.0","{Netherlands|Netherlands|Netherlands}"
"Forbes_658+SBTI_5948","0.7142857142857143","1.0","{1970}","1.0","{18940000000}","1.0","{26.02}","1.0","{1990000000}","1.0","{Western Digital|Western Digital}","0.0","{[, Technology Hardware & Equipment, ]|[]}",,,"0.0","{United States|United States of America (USA)}"
"Forbes_762+SBTI_1568","0.7142857142857143","1.0","{1987}","1.0","{17670000000}","1.0","{78.23}","1.0","{-3340000000}","0.0","{East Japan Railway|East Japan Railway Company}","0.0","{[, Transportation, ]|[]}",,,"1.0","{Japan|Japan}"
"DBPedia_968+DBPedia_9697+Forbes_183+SBTI_2664+SBTI_2668","0.2857142857142857","0.0","{1991|1952|1991}","0.0","{16574829311|455979315|21490000000}","0.0","{880.83324928|1081.81}","0.0","{2340042240|5650000000}","0.6","{ING Group|Intertrust Group|ING Group|ING Group|Ingka Group}","0.4","{[, Financial services, ]|[, Professional services, ]|[, Diversified Financials, ]|[]|[]}",,,"1.0","{Netherlands|Netherlands|Netherlands}"
"Forbes_1486+SBTI_2607","0.7142857142857143","1.0","{2013}","1.0","{12620000000}","1.0","{13.68}","1.0","{980000000}","0.0","{Iida Group Holdings|Iida Group Holdings Co., Ltd.}","0.0","{[, Construction, ]|[]}",,,"1.0","{Japan|Japan}"
