UID,company,label,industries,keyPeople,founders,hqLocationCountry,revenue,assets,netIncome,foundingYear,type,keyPeopleFoundersCombined
DBPedia_602,http://dbpedia.org/resource/APRA_AMCOS,APRA AMCOS,,Dean Ormston,,Australia,420,,,1926.0,,Dean Ormston
DBPedia_603,http://dbpedia.org/resource/Alfa_Romeo_Avio,Alfa Romeo Avio,Aeronautics,,,Italy,300000000000,,,1941.0,,
DBPedia_604,http://dbpedia.org/resource/Total_Quality_Logistics,Total Quality Logistics,Logistics,"Ken Oaks, Kerry Byrne",,,7,,,1997.0,,"Ken Oaks, Kerry Byrne"
DBPedia_605,http://dbpedia.org/resource/Travel_Counsellors,Travel Counsellors,Travel agency,"Steve Byrne, CEO",,,600000000,,,1994.0,,"Steve Byrne, CEO"
DBPedia_606,http://dbpedia.org/resource/Trek_Bicycle_Corporation,Trek Bicycle Corporation,Bicycles,"John Burke, President",,,900000000,,,1975.0,,"John Burke, President"
DBPedia_607,http://dbpedia.org/resource/Wegmans,Wegmans,Grocery,"Colleen J. Wegman, Danny Wegman, Nicole Wegman",,,11200000000,,,1916.0,,"Colleen J. Wegman, Danny Wegman, Nicole Wegman"
DBPedia_608,http://dbpedia.org/resource/Darvin_Furniture_&_Mattress,Darvin Furniture & Mattress,Furniture,"Will Harris - President; Steven Darvin, Marty Darvin",,,100000000,,,1920.0,,"Will Harris - President; Steven Darvin, Marty Darvin"
DBPedia_609,http://dbpedia.org/resource/Mediaocean,Mediaocean,,Bill Wise,,,400000000,,,2012.0,,Bill Wise
DBPedia_610,http://dbpedia.org/resource/Westgold_Resources,Westgold Resources,,"Debbie Fullarton, Cheryl Edwardes",,,571100000,,,1987.0,,"Debbie Fullarton, Cheryl Edwardes"
DBPedia_611,http://dbpedia.org/resource/Albatron_Technology,Albatron Technology,,"CEO: Jack Ko, President: Luu Yang-Kai, Vice President: Feng Chih-Kun, chairman of the board: Ke Tsung-Yuan",,,2922,,,1984.0,,"CEO: Jack Ko, President: Luu Yang-Kai, Vice President: Feng Chih-Kun, chairman of the board: Ke Tsung-Yuan"
DBPedia_612,http://dbpedia.org/resource/Allegis_Group,Allegis Group,,Andrew Hilger,,,13400000000,,,1983.0,,Andrew Hilger
DBPedia_613,http://dbpedia.org/resource/BUT_(retailer),BUT (retailer),Retail,,,,1691596800,,,1972.0,,
DBPedia_614,http://dbpedia.org/resource/Century_International_Arms,Century International Arms,Arms industry,,,,40000000,,,1961.0,,
DBPedia_615,http://dbpedia.org/resource/2_Sisters_Food_Group,2 Sisters Food Group,Food manufacturing,"Richard Pennycook, Chairman",Ranjit Singh Boparan,,2690000000,,,1993.0,,"Chairman, Ranjit Singh Boparan, Richard Pennycook"
DBPedia_616,http://dbpedia.org/resource/Drury_Hotels,Drury Hotels,Hospitality,"Charles L. Drury, Jr.",,,540000000,,,1973.0,,"Charles L. Drury, Jr."
